ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ts
40,23,42,53,148,42,27,24,1560803749.334458
38,23,46,66,172,47,31,27,1560803749.355489
49,37,45,76,181,42,29,29,1560803749.3777769
50,39,44,79,214,47,30,29,1560803749.394435
49,39,44,84,235,51,29,29,1560803749.4245589
49,39,40,82,240,50,28,30,1560803749.437623
41,39,40,79,284,53,25,27,1560803749.454758
24,30,40,69,291,74,30,23,1560803749.477058
26,28,39,75,275,88,30,23,1560803749.4994788
25,28,39,85,311,95,32,24,1560803749.5128849
27,30,41,92,308,100,36,22,1560803749.542897
25,30,40,87,279,100,35,22,1560803749.5578089
26,29,40,88,265,87,33,24,1560803749.572884
24,33,45,88,292,91,33,23,1560803749.595506
26,34,44,74,253,88,31,22,1560803749.617938
24,31,43,70,252,84,29,22,1560803749.640315
28,34,49,76,237,80,31,24,1560803749.655388
28,34,46,92,272,89,32,24,1560803749.677849
31,29,38,87,259,67,28,27,1560803749.692749
31,26,38,91,251,62,29,26,1560803749.715522
31,29,37,91,253,62,28,28,1560803749.737828
30,28,28,98,277,64,26,28,1560803749.760314
29,27,31,95,287,53,25,28,1560803749.775499
30,29,37,100,268,54,26,28,1560803749.797586
31,34,42,95,273,52,26,29,1560803749.812763
36,34,44,101,310,48,28,29,1560803749.835474
35,34,51,109,341,64,34,30,1560803749.857871
35,35,51,108,343,74,33,30,1560803749.88035
32,33,49,106,355,76,34,29,1560803749.895358
29,32,46,105,347,77,35,28,1560803749.917929
23,34,53,99,308,78,31,26,1560803749.9403698
27,36,49,83,247,78,30,28,1560803749.95545
29,36,50,75,194,68,32,29,1560803749.986469
29,35,48,75,212,68,32,28,1560803750.000278
31,36,51,85,228,68,31,29,1560803750.0154982
32,32,46,87,229,68,33,28,1560803750.053646
29,28,50,84,247,55,29,24,1560803750.060328
27,27,51,83,254,57,27,23,1560803750.075495
28,28,50,82,219,52,28,24,1560803750.106541
28,24,47,78,249,51,26,24,1560803750.1202471
29,29,57,87,266,54,27,25,1560803750.1353471
29,31,58,89,277,53,26,26,1560803750.157818
30,31,57,93,298,58,28,26,1560803750.180192
28,30,60,101,317,66,29,25,1560803750.195232
27,32,58,107,305,68,31,24,1560803750.225983
24,28,50,104,299,64,31,24,1560803750.2403212
25,29,43,103,329,67,32,22,1560803750.257005
28,32,44,96,298,58,31,23,1560803750.277744
28,32,45,87,281,51,28,22,1560803750.300318
28,32,46,83,282,54,27,24,1560803750.31544
29,31,46,78,277,55,25,25,1560803750.346034
30,31,53,125,245,64,30,28,1560803750.360203
31,31,50,132,252,66,31,28,1560803750.377047
31,29,51,134,258,64,31,30,1560803750.399281
34,29,51,139,305,65,32,27,1560803750.420217
34,32,56,139,303,64,32,27,1560803750.435417
31,29,52,114,290,59,31,26,1560803750.45782
27,28,55,113,301,60,32,26,1560803750.480299
29,29,50,110,295,66,32,26,1560803750.495168
26,29,51,99,238,63,33,26,1560803750.5178869
26,28,47,98,242,63,34,27,1560803750.540324
26,28,46,93,245,58,31,25,1560803750.562835
25,32,52,91,242,55,28,24,1560803750.5778131
22,34,58,91,239,44,28,23,1560803750.608499
25,35,55,90,252,39,25,24,1560803750.615294
24,33,51,98,266,48,25,24,1560803750.637906
25,34,50,90,234,46,25,24,1560803750.660139
30,32,45,92,242,46,25,25,1560803750.690979
30,31,39,94,240,50,27,26,1560803750.697822
29,29,42,98,215,50,28,24,1560803750.720308
31,29,43,92,207,45,25,26,1560803750.7369711
32,28,42,83,210,48,24,25,1560803750.7577848
30,25,43,74,193,54,27,25,1560803750.796526
30,24,41,70,192,54,26,24,1560803750.798257
28,25,40,77,180,55,25,25,1560803750.8258789
26,25,41,76,169,52,26,22,1560803750.840198
24,24,38,75,183,51,26,25,1560803750.862794
22,24,35,71,168,43,25,26,1560803750.877914
23,24,36,74,181,40,25,26,1560803750.900203
24,26,38,75,218,42,25,26,1560803750.9397
28,28,46,87,227,50,25,27,1560803750.953594
27,29,49,90,215,47,25,24,1560803750.9601061
28,30,48,93,214,46,24,22,1560803750.982749
27,30,50,95,228,47,25,23,1560803750.999417
27,28,46,84,195,48,24,23,1560803751.0280962
23,26,38,69,196,50,24,21,1560803751.042875
28,26,36,64,194,52,25,23,1560803751.057704
27,24,37,70,239,57,25,23,1560803751.080245
29,24,35,69,221,60,25,25,1560803751.10278
27,26,35,84,222,58,26,25,1560803751.117859
27,28,41,94,227,55,24,25,1560803751.140377
26,29,50,101,221,53,23,27,1560803751.162868
26,30,55,102,178,48,23,25,1560803751.177923
24,31,56,105,215,50,21,24,1560803751.200301
26,30,55,95,224,54,24,26,1560803751.222776
27,27,52,113,249,64,27,26,1560803751.237901
25,29,58,111,268,70,27,25,1560803751.260444
24,32,56,113,292,69,27,27,1560803751.282925
26,31,53,109,271,65,27,27,1560803751.2978811
24,32,55,109,257,62,26,25,1560803751.320305
23,34,56,81,213,50,24,24,1560803751.342717
22,30,45,88,215,44,23,23,1560803751.357661
25,28,41,78,169,45,26,23,1560803751.380318
25,31,47,81,200,48,26,23,1560803751.4029381
27,30,43,77,244,51,25,22,1560803751.417851
27,30,39,73,245,47,24,23,1560803751.440244
27,29,35,62,228,50,25,23,1560803751.4635391
26,32,42,84,260,58,26,23,1560803751.477999
24,30,39,92,244,58,27,24,1560803751.510233
24,29,39,91,204,59,27,23,1560803751.523493
25,30,40,93,213,59,30,24,1560803751.537796
25,30,40,98,213,60,31,23,1560803751.560156
26,30,42,95,224,59,33,26,1560803751.583523
29,30,39,93,207,62,34,27,1560803751.606068
28,30,40,99,222,60,34,27,1560803751.620723
29,33,41,99,227,61,34,27,1560803751.643582
30,34,41,101,256,58,34,29,1560803751.6578221
29,33,41,90,242,59,29,25,1560803751.680192
29,32,42,83,260,62,28,25,1560803751.7035859
31,33,46,87,302,65,33,25,1560803751.726589
30,28,50,89,320,66,31,25,1560803751.748573
30,31,52,86,304,65,31,26,1560803751.7636712
31,29,47,88,311,61,31,28,1560803751.777905
28,31,48,88,299,54,29,25,1560803751.8003552
26,29,46,76,242,50,24,26,1560803751.838392
27,31,45,80,224,56,24,26,1560803751.847754
26,30,44,87,240,62,28,25,1560803751.860337
26,31,43,84,206,62,28,26,1560803751.883717
30,29,42,87,254,67,28,27,1560803751.906558
32,30,42,86,259,66,33,28,1560803751.920172
29,29,39,86,248,59,32,27,1560803751.943619
30,29,42,80,223,52,29,26,1560803751.966119
29,26,39,79,222,55,29,23,1560803751.9803019
25,26,40,73,162,49,30,24,1560803752.0036
25,27,39,75,157,50,25,23,1560803752.0261722
25,29,42,71,144,52,25,25,1560803752.040334
23,25,37,61,141,56,25,24,1560803752.064251
26,26,39,58,136,45,26,23,1560803752.085971
28,28,38,55,128,43,27,21,1560803752.100334
30,27,36,54,145,41,25,22,1560803752.123627
30,25,32,47,161,41,26,19,1560803752.146084
29,27,36,73,173,40,26,19,1560803752.160238
28,25,36,80,176,44,27,21,1560803752.191516
25,24,36,81,173,48,25,25,1560803752.206043
21,24,42,90,160,50,26,23,1560803752.2202132
21,24,42,96,141,52,25,26,1560803752.243632
23,24,45,98,157,61,31,27,1560803752.266091
22,25,43,97,149,61,31,28,1560803752.2802892
